,Games,Accuracy_Passes,Shots_Total,Goals_Total,Weight_kg,Height_cm,Rating
308,25.0,83.0,15.0,4.0,84.0,185.0,2
309,35.0,73.0,74.0,5.0,71.0,178.0,1
310,23.0,62.0,0.0,0.0,84.0,189.0,1
311,27.0,90.0,14.0,1.0,78.0,177.0,2
312,17.0,86.0,5.0,0.0,74.0,178.0,1
313,11.0,81.0,17.0,1.0,66.0,171.0,1
314,1.0,72.0,0.0,0.0,84.0,187.0,2
315,6.0,82.0,2.0,0.0,72.0,180.0,1
316,2.0,81.0,1.0,0.0,73.0,175.0,1
317,21.0,70.0,11.0,0.0,73.0,179.0,1
318,25.0,78.0,13.0,0.0,77.0,184.0,1
319,7.0,64.0,9.0,1.0,73.0,175.0,0
320,2.0,25.0,0.0,0.0,76.0,183.0,0
321,36.0,82.0,0.0,0.0,85.0,187.0,2
322,26.0,87.0,6.0,1.0,68.0,170.0,1
323,32.0,87.0,16.0,0.0,68.0,178.0,1
324,33.0,88.0,4.0,0.0,76.0,189.0,2
325,23.0,86.0,9.0,0.0,73.0,173.0,1
326,28.0,90.0,8.0,2.0,76.0,180.0,1
327,15.0,80.0,1.0,0.0,66.0,176.0,0
328,23.0,86.0,26.0,3.0,76.0,182.0,1
329,30.0,79.0,37.0,2.0,70.0,179.0,2
330,29.0,91.0,33.0,3.0,76.0,183.0,2
331,25.0,88.0,20.0,1.0,66.0,172.0,2
332,33.0,83.0,30.0,2.0,70.0,173.0,1
333,29.0,80.0,69.0,11.0,81.0,185.0,2
334,8.0,50.0,5.0,1.0,76.0,180.0,1
335,19.0,71.0,31.0,5.0,77.0,182.0,1
336,32.0,77.0,41.0,6.0,67.0,178.0,1
337,34.0,76.0,43.0,8.0,70.0,174.0,1
338,30.0,78.0,13.0,0.0,70.0,175.0,1
339,9.0,69.0,4.0,0.0,71.0,180.0,0
340,30.0,57.0,0.0,0.0,87.0,188.0,1
341,30.0,82.0,32.0,6.0,80.0,185.0,1
342,29.0,85.0,13.0,1.0,80.0,185.0,1
343,31.0,84.0,67.0,7.0,66.0,171.0,2
344,25.0,73.0,16.0,1.0,78.0,180.0,1
345,37.0,65.0,99.0,12.0,78.0,180.0,1
346,3.0,72.0,3.0,1.0,72.0,185.0,1
347,5.0,63.0,3.0,1.0,77.0,175.0,0
348,2.0,41.0,0.0,0.0,70.0,180.0,0
349,34.0,82.0,19.0,1.0,75.0,179.0,2
350,4.0,80.0,2.0,0.0,73.0,181.0,1
351,38.0,74.0,57.0,2.0,78.0,181.0,1
352,30.0,78.0,92.0,14.0,71.0,175.0,2
353,22.0,67.0,9.0,0.0,76.0,178.0,1
354,36.0,76.0,16.0,2.0,74.0,183.0,1
355,25.0,45.0,0.0,0.0,78.0,186.0,1
356,32.0,75.0,3.0,1.0,81.0,187.0,2
357,33.0,74.0,47.0,4.0,76.0,184.0,1
358,36.0,82.0,27.0,4.0,77.0,176.0,2
359,31.0,74.0,37.0,4.0,68.0,171.0,1
360,36.0,78.0,88.0,16.0,73.0,176.0,2
361,26.0,76.0,55.0,15.0,84.0,190.0,2
