"","Age","Position","Games","Team","Total_Passes","Tackled_Intercept","Duels_Won","Goals_Total","Rating","Weight_kg","Height_cm"
"202",30,"Midfielder",34,"Leganes",809,25,323,5,"Low Rating",83,187
"203",30,"Defender",15,"Malaga",391,44,39,0,"Average Rating",79,192
"204",35,"Midfielder",28,"Eibar",486,25,145,3,"Average Rating",63,169
"205",34,"Midfielder",10,"Sevilla",285,4,30,2,"High Rating",79,184
"206",26,"Attacker",3,"Malaga",29,0,13,0,"Low Rating",83,185
"207",28,"Defender",23,"Las Palmas",955,40,85,5,"High Rating",85,187
"208",34,"Midfielder",4,"Sevilla",105,2,13,1,"Average Rating",66,172
"209",39,"Midfielder",23,"Barcelona",1008,12,98,0,"High Rating",68,171
"210",28,"Midfielder",22,"Granada CF",602,25,61,0,"Low Rating",73,182
"211",31,"Attacker",11,"Deportivo La Coruna",91,6,23,0,"Average Rating",80,180
"212",31,"Defender",2,"Granada CF",18,1,2,0,"Low Rating",65,175
"213",34,"Midfielder",32,"Osasuna",648,38,125,7,"Average Rating",72,178
"214",29,"Defender",2,"Real Sociedad",43,2,5,0,"Low Rating",70,170
"215",30,"Defender",25,"Barcelona",1586,47,101,1,"High Rating",75,182
"216",31,"Midfielder",26,"Osasuna",649,30,98,1,"Average Rating",74,179
"217",32,"Defender",17,"Real Madrid",665,40,114,1,"High Rating",78,184
"218",29,"Attacker",26,"Sevilla",388,12,115,4,"Average Rating",75,189
"219",36,"Defender",29,"Sevilla",853,48,117,3,"Average Rating",81,180
"221",27,"Attacker",22,"Real Betis",255,1,123,4,"Average Rating",70,180
"222",32,"Attacker",32,"Alaves",439,22,333,7,"High Rating",80,187
"223",33,"Midfielder",32,"Las Palmas",1043,17,106,4,"Average Rating",73,169
"224",32,"Midfielder",33,"Villarreal",803,34,144,9,"High Rating",76,182
"225",32,"Attacker",32,"Villarreal",400,7,86,8,"Average Rating",68,175
"227",28,"Defender",2,"Barcelona",170,3,6,0,"High Rating",80,182
"228",26,"Attacker",26,"Granada CF",337,2,97,2,"Low Rating",68,172
"229",35,"Midfielder",15,"Leganes",215,8,78,0,"Low Rating",66,175
"230",32,"Midfielder",3,"Las Palmas",26,1,3,0,"Low Rating",72,180
"231",26,"Defender",32,"Alaves",760,41,206,1,"High Rating",81,184
"232",30,"Defender",25,"Malaga",661,77,108,2,"Average Rating",75,186
"233",38,"Attacker",29,"Real Madrid",616,8,109,25,"High Rating",83,187
"234",28,"Attacker",29,"Valencia",377,7,116,6,"Average Rating",79,185
"235",38,"Defender",9,"Real Sociedad",292,17,32,0,"High Rating",78,190
"236",33,"Defender",23,"Villarreal",34,2,3,1,"Low Rating",72,178
"237",35,"Attacker",27,"Espanyol",182,2,82,2,"Low Rating",84,183
"238",35,"Defender",32,"Malaga",1011,58,181,1,"Average Rating",73,174
"239",35,"Midfielder",24,"Deportivo La Coruna",484,7,68,0,"Average Rating",71,180
"240",28,"Midfielder",5,"Granada CF",86,3,15,0,"Average Rating",80,184
"241",34,"Midfielder",32,"Real Betis",951,51,222,1,"High Rating",78,182
"242",37,"Defender",36,"Osasuna",859,90,221,0,"Low Rating",72,178
"243",33,"Midfielder",10,"Las Palmas",128,3,23,0,"Low Rating",71,181
"244",32,"Attacker",10,"Espanyol",70,10,10,0,"Low Rating",75,182
"245",34,"Defender",15,"Espanyol",395,22,34,0,"Average Rating",88,186
"246",37,"Midfielder",14,"Leganes",159,4,20,1,"Low Rating",66,171
"247",29,"Midfielder",16,"Valencia",476,9,44,2,"Low Rating",69,170
"248",34,"Midfielder",25,"Sporting Gijon",382,8,87,2,"Average Rating",70,170
"249",36,"Midfielder",22,"Deportivo La Coruna",334,11,116,0,"Low Rating",73,175
"250",35,"Defender",31,"Villarreal",1064,43,178,1,"High Rating",62,171
"251",31,"Attacker",35,"Athletic Club",862,15,213,7,"High Rating",65,170
"252",32,"Defender",34,"Eibar",1058,72,179,1,"High Rating",89,189
"253",28,"Attacker",29,"Osasuna",383,51,188,1,"Low Rating",73,175
"254",31,"Defender",22,"Osasuna",435,64,115,0,"Average Rating",81,186
"255",29,"Defender",25,"Osasuna",481,54,110,1,"Average Rating",72,185
"256",26,"Attacker",1,"Osasuna",2,0,1,0,"Low Rating",69,178
"257",28,"Midfielder",23,"Leganes",401,8,46,2,"Low Rating",68,170
"258",29,"Attacker",38,"Athletic Club",526,14,169,5,"Low Rating",81,186
"260",31,"Midfielder",25,"Real Betis",417,14,101,1,"Low Rating",73,178
"261",32,"Defender",28,"Eibar",159,14,63,1,"Low Rating",65,170
"262",34,"Attacker",24,"Eibar",266,8,93,7,"Average Rating",79,186
"264",36,"Defender",21,"Valencia",625,30,92,3,"High Rating",80,188
"265",29,"Midfielder",26,"Sporting Gijon",672,11,87,2,"Average Rating",71,176
"267",34,"Defender",27,"Valencia",968,58,108,4,"High Rating",90,189
"268",31,"Defender",23,"Real Betis",448,19,110,2,"Low Rating",86,189
"269",34,"Midfielder",32,"Celta Vigo",864,23,154,3,"Average Rating",74,181
"270",37,"Midfielder",1,"Leganes",31,1,4,0,"Low Rating",71,174
"271",27,"Attacker",18,"Valencia",91,1,23,1,"Low Rating",71,168
"272",30,"Defender",17,"Granada CF",460,32,77,1,"Average Rating",84,188
"274",35,"Attacker",13,"Celta Vigo",118,1,56,1,"Average Rating",66,174
"276",31,"Attacker",23,"Celta Vigo",197,4,39,4,"Average Rating",79,185
"277",28,"Attacker",30,"Celta Vigo",481,10,129,3,"Average Rating",64,171
"278",38,"Defender",11,"Leganes",227,36,55,0,"Low Rating",64,175
"280",27,"Defender",15,"Atletico Madrid",394,22,84,0,"High Rating",79,184
"281",29,"Defender",35,"Valencia",723,57,221,1,"Average Rating",74,182
"282",28,"Attacker",17,"Villarreal",78,1,20,2,"Average Rating",70,174
"283",29,"Defender",4,"Osasuna",68,5,10,0,"Low Rating",80,191
"285",32,"Attacker",5,"Leganes",20,0,11,0,"Low Rating",69,176
"286",30,"Attacker",28,"Osasuna",355,3,116,7,"Average Rating",80,190
