Games,Accuracy_Passes,Key_Passes,Total_Passes,Shots_Total,Dribbles_Attempts,Dribbles_Success,Tackled_Intercept,Goals_Total,Yellow_Cards,Weight_kg,Height_cm,Rating,Position
25,91,0,1586,6,10,8,47,1,4,75,182,7.132,Defender
26,80,14,649,14,17,11,30,1,4,74,179,6.703846,Midfielder
17,86,19,665,11,22,13,40,1,2,78,184,7.188235,Defender
26,65,12,388,34,77,38,12,4,6,75,189,6.67826,Attacker
29,79,5,853,13,7,4,48,3,10,81,180,6.727586,Defender
22,60,6,255,37,21,9,1,4,2,70,180,6.790909,Attacker
32,56,26,439,56,27,14,22,7,14,80,187,7,Attacker
32,84,44,1043,25,50,32,17,4,4,73,169,6.753125,Midfielder
33,79,28,803,41,39,22,34,9,8,76,182,6.936363,Midfielder
32,79,20,400,47,46,22,7,8,7,68,175,6.771875,Attacker
2,95,0,170,0,1,1,3,0,0,80,182,7.25,Defender
26,81,13,337,29,98,55,2,2,0,68,172,6.61923,Attacker
15,73,20,215,14,51,27,8,0,4,66,175,6.626666,Midfielder
3,79,1,26,0,1,0,1,0,1,72,180,6.4,Midfielder
32,79,22,760,27,106,65,41,1,12,81,184,6.89375,Defender
25,73,3,661,10,2,1,77,2,2,75,186,6.852,Defender
29,79,32,616,162,63,25,8,25,4,83,187,7.572413,Attacker
29,73,18,377,33,44,16,7,6,2,79,185,6.796428,Attacker
9,73,0,292,1,6,6,17,0,2,78,190,6.9,Defender
23,71,0,34,2,0,0,2,1,7,72,178,6.05,Defender
27,75,5,182,15,19,10,2,2,4,84,183,6.577777,Attacker
32,76,39,1011,19,43,22,58,1,5,73,174,6.859375,Defender
24,77,24,484,20,13,6,7,0,3,71,180,6.675,Midfielder
5,66,0,86,0,2,0,3,0,2,80,184,6.7,Midfielder
32,84,23,951,12,24,18,51,1,9,78,182,7.003225,Midfielder
36,68,18,859,8,13,9,90,0,11,72,178,6.622222,Defender
10,86,1,128,7,7,4,3,0,2,71,181,6.344444,Midfielder
10,74,4,70,5,9,5,10,0,0,75,182,6.57,Attacker
15,71,2,395,6,1,1,22,0,4,88,186,6.785714,Defender
14,78,8,159,12,18,6,4,1,1,66,171,6.641666,Midfielder
16,77,9,476,13,15,8,9,2,3,69,170,6.664285,Midfielder
25,74,23,382,27,30,12,8,2,1,70,170,6.684,Midfielder
22,80,20,334,27,50,19,11,0,3,73,175,6.545454,Midfielder
