,Position,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Dribbles_Attempts,Fouls_Drawn,Fouls_Committed,Tackled_Intercept,Duels_Won,Duels_Total,Goals_Total,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Weight_kg
335,0,1396,71,22,307,11,26,26,23,4,70,177,5,2,1,0,0,77
336,2,2674,77,37,1072,10,36,35,34,40,147,344,6,1,6,0,0,67
337,2,2133,76,47,772,22,50,46,46,25,120,307,8,1,10,0,0,70
338,1,2206,78,17,1003,5,40,18,28,62,135,251,0,1,8,0,0,70
339,1,459,69,1,177,0,2,1,4,12,19,40,0,0,0,1,0,71
341,2,2333,82,46,999,13,129,79,42,19,209,414,6,2,6,0,1,80
342,1,2491,85,3,898,1,17,12,9,53,94,146,1,1,2,0,0,80
343,2,2588,84,86,1691,27,93,81,27,10,190,359,7,2,4,0,0,66
344,1,2222,73,14,665,3,25,33,27,67,152,255,1,2,6,0,0,78
345,0,2900,65,16,290,42,112,35,92,4,151,498,12,1,6,0,0,78
346,0,88,72,0,6,2,0,0,1,0,2,12,1,1,0,0,0,72
347,1,439,63,1,112,1,6,4,8,10,21,53,1,0,2,0,0,77
348,2,14,41,0,2,0,1,0,0,1,2,3,0,0,0,0,0,70
349,2,3004,82,31,1975,5,40,64,55,118,236,402,1,2,13,0,0,75
350,2,254,80,1,133,0,4,1,2,1,16,29,0,1,1,0,0,73
351,0,2726,74,34,792,19,101,60,31,22,155,371,2,1,0,0,0,78
352,0,2316,78,32,493,37,51,56,21,14,103,220,14,2,4,0,0,71
353,1,1572,67,10,541,2,25,10,15,48,118,195,0,1,5,0,0,76
354,2,3007,76,20,1125,5,24,44,82,71,267,555,2,1,9,0,0,74
356,1,2727,75,4,760,1,0,15,22,68,117,196,1,2,6,0,1,81
357,2,2544,74,25,927,14,64,31,73,58,247,494,4,2,8,0,0,76
358,2,3171,82,73,2117,10,26,56,29,49,172,351,4,2,7,0,1,77
359,0,1213,74,24,353,16,106,15,21,11,100,255,4,1,6,0,0,68
360,0,3067,78,57,1005,41,54,33,28,18,146,325,16,2,3,0,0,73
361,0,1330,76,18,282,30,39,34,31,3,94,205,15,2,8,0,0,84
362,2,2805,84,19,1522,1,34,34,46,86,213,364,0,2,5,0,0,74
363,2,3195,85,67,1905,26,53,91,44,41,247,454,5,2,12,0,0,74
364,0,746,72,14,173,8,12,22,13,2,41,92,4,2,8,0,0,74
365,1,44,73,0,25,0,1,1,0,4,4,8,0,1,0,0,0,82
366,1,2217,83,4,867,7,12,10,29,60,113,196,2,2,4,0,0,78
367,2,1467,79,16,785,14,12,25,39,33,123,222,7,2,9,0,0,80
368,2,2270,81,34,686,33,147,49,30,14,158,350,10,1,5,0,0,73
369,1,2502,81,20,968,1,50,22,17,45,115,200,0,1,6,0,0,61
370,2,278,75,8,65,2,21,11,4,2,26,55,0,0,2,0,0,66
371,2,168,87,2,40,3,16,11,2,1,21,37,2,1,0,0,0,67
372,0,305,48,0,40,4,0,3,7,0,26,51,3,1,0,0,0,72
373,1,101,38,0,12,0,0,0,0,8,3,3,0,0,1,0,0,75
374,1,1488,68,6,508,3,4,8,11,51,79,133,0,1,3,0,1,80
376,2,992,84,35,511,5,28,8,17,7,55,131,0,1,2,0,0,65
377,2,1676,84,35,637,9,68,29,14,13,92,199,3,1,2,0,0,75
378,1,2367,83,6,1111,2,6,12,33,61,96,187,1,2,4,2,0,95
379,2,3043,85,45,1631,20,55,47,40,28,178,364,5,2,4,0,0,75
380,0,3280,71,32,762,33,95,49,53,30,243,577,13,2,6,0,0,77
381,1,3103,73,7,1020,6,6,26,43,100,200,313,1,1,10,0,0,82
382,1,3000,82,13,1563,13,14,34,48,61,154,263,3,2,10,0,1,76
383,1,2222,78,13,852,4,49,30,45,63,190,336,2,1,8,0,0,73
384,2,268,74,1,105,0,1,5,6,3,12,38,0,0,1,0,0,71
385,0,2078,72,20,495,29,21,41,47,7,90,246,12,2,4,0,0,93
386,0,1834,75,8,337,20,22,23,32,3,58,188,11,0,7,0,1,69
387,1,2148,74,7,709,3,2,13,21,56,94,161,2,2,6,0,0,80
388,2,75,88,0,31,0,1,1,1,2,3,10,0,0,0,0,0,64
389,0,71,45,2,10,0,3,0,1,1,6,18,0,0,0,0,0,86
390,0,2412,82,40,862,18,130,82,31,15,213,394,7,2,5,0,0,65
391,1,2970,74,7,1058,11,18,7,18,72,179,252,1,2,7,0,1,89
392,0,2117,60,27,383,5,135,35,29,51,188,391,1,0,3,0,0,73
393,1,1811,69,11,516,6,27,15,42,55,139,270,1,1,6,0,0,71
394,1,2270,74,8,998,2,16,27,53,96,155,276,0,2,3,0,0,78
395,1,2851,75,19,790,1,52,25,21,36,156,269,1,1,3,1,0,76
396,1,3090,81,23,1371,8,77,42,40,62,216,385,3,1,9,0,0,79
397,1,2553,61,31,603,2,66,24,41,65,160,297,0,1,9,0,1,75
398,1,2150,77,24,846,3,24,13,27,32,107,214,1,1,3,0,0,77
